po_number,code_art,product_name,quantity,measurement_unit,unit_price,comment
10000269,PEDESTALSIMPLEMOVILPARAPIZARRAINTERACTIV_08532658,PEDESTAL SIMPLE MOVIL PARA PIZARRA INTERACTIVA RK-04 SIN BRAZO DE PROYECOR PARA PDI-82,22,unidades,508.47,
10000270,COCHEPORTALAPTOPSPOLINOMIO1NCXL30CPC30MO_E24A925D,COCHE PORTA LAPTOPS POLINOMIO 1NCXL30C PC 30 MODELO C ENCHUFE SCHUKO,24,unidades,951.05,
10000271,PARLANTEJBLEONONECOMPACTPORTATILDE8150W1_2785E5A3,PARLANTE JBL EON ONE COMPACT PORTATIL DE 8” 150W 112DB CON BATERIA Y BLUETOOTH + PEDESTAL,43,unidades,2203.39,
10000271,TRIPODEPROLOCKPSS922PARAPARLANTE_9BBAAA1D,TRIPODE PRO LOCK PSS-922 PARA PARLANTE,43,unidades,84.75,
10000271,CONSOLAMEZCLADORBEHRINGERXENYXQX1204USBC_70B8DBDA,CONSOLA MEZCLADOR BEHRINGER XENYX QX1204USB CON USB Y EFECTO,2,unidades,800.85,
10000273,PARLANTELOGITECH980001004S150ENTRADAUSBB_2321AEF8,PARLANTE LOGITECH 980-001004 S-150 ENTRADA USB BLACK RETAIL POTENCIA 2.2W CON SUBWOOFER,52,unidades,10.34,
10000274,CABLEPANDUITPFL6X04WHCEGFUTPLSZH322CAT6A_F9FC7FEA,CABLE PANDUIT PFL6X04WH-CEG F/UTP LSZH-3-22 CAT6A 23AWG X 305MT BLANCO,2,unidades,220.0,
10000275,ESCANERPORTATILPARADOCUMENTOSANSELFBK52A_923EF3DB,ESCANER PORTATIL PARA DOCUMENTOS ANSELF BK52 A3 10MP USB 2.0,16,unidades,162.0,
10000279,GRABADORADEVOZSONYICDPX470DIGITALPORTATI_89913422,GRABADORA DE VOZ SONY ICD-PX470 DIGITAL PORTATIL CON USB DIRECTO MEMORIA INTERNA DE 4GB NEGRA,88,unidades,236.44,
10000292,FUENTEDEPODERGIGABYTEDE850W80GFM_7618C42B,FUENTE DE PODER GIGABYTE DE 850W 80+G FM,1,unidades,118.0,
10000297,SERVIDORHPEP60734B21DL360G114416MR408ION_B70491B0,SERVIDOR HPE P60734-B21 DL360 G11 4416+ MR408i-o NC 8SFF,3,unidades,4500.0,
10000297,CABLEDESEGURIDADHPE875519B21BEZELLOCKKIT_1ECAAFB5,CABLE DE SEGURIDAD HPE 875519-B21 BEZEL LOCK KIT,3,unidades,90.0,
10000297,KITDEBISELHPEP50450B21DL3XXGEN111U_74144866,KIT DE BISEL HPE P50450-B21 DL3XX GEN 11 1U,3,unidades,96.0,
10000297,FUENTEDEPODERHPEP38995B21HOTPLUG800WRANU_568C5443,FUENTE DE PODER HPE P38995-B21 HOT PLUG 800W RANURA FLEXIBLE,3,unidades,219.57,
10000297,DISCODUROHPEP288352B2124TBSAS10KSFFBC512_8EC2AF72,DISCO DURO HPE P288352-B21 2.4TB SAS 10K SFF BC 512E MV,6,unidades,345.0,
10000298,ENRUTADORDESEGURIDADVR300FENTERPRISE4POR_97A73C08,ENRUTADOR DE SEGURIDAD VR-300F - ENTERPRISE 4-PORT 10/100/1000T + 1-PORT 1000X SFP VPN SECURITY ROUTER,6,unidades,331.2,
10000298,CONMUTADORETHERNETADMINISTRADOGS631148P6_1F188BD5,CONMUTADOR ETHERNET ADMINISTRADO GS-6311-48P6X - LAYER 3 48-PORT 10/100/1000T 802.3AT POE + 6-PORT 10G SFP+ ME SWITCH,5,unidades,1123.2,
10000298,CONMUTADORETHERNETADMINISTRADOGS631124HP_23E93531,CONMUTADOR ETHERNET ADMINISTRADO GS-6311-24HP4X - L3 8-PORT 802.3BT POE + 16-PORT 802.3AT POE + 4PORT 10G SFP+ M E SWITC,1,unidades,859.2,
10000311,SERVICIODEDISEÑODEPLANOSTOPOGRAFICOS_5EE33131,SERVICIO DE DISEÑO DE PLANOS TOPOGRAFICOS,1,unidades,16000.0,
10000312,CAMARAFOTOGRAFICACANONEOSREBELSL3PROCESA_139838C4,CAMARA FOTOGRAFICA CANON EOS REBEL SL3 PROCESADOR DIGIC8 CON CONECTIVIDAD WI FI Y BLUETOOTH,88,unidades,540.0,
10000318,NOTEBOOKLENOVOV15G4AMN156FHD1920X1080AMD_94B2EE2F,NOTEBOOK LENOVO V15 G4 AMN 15.6” FHD 1920 X 1080 AMD RYZEN 3 7320U 2.4 / 4.1GHZ 8GB SSD 512 WIN 11 PRO,500,unidades,455.0,
10000318,GARANTIALENOVOPOR3AÑOSONSITE_D3569B4C,GARANTIA LENOVO POR 3 AÑOS ONSITE,500,unidades,30.0,
10000319,LICENCIAWIN11PRO64BITSPANISHLATAMOEMDVD_64D381B1,LICENCIA WIN 11 PRO 64BIT SPANISH LATAM OEM DVD,18,unidades,130.0,
10000333,NOTEBOOKLENOVOV15G4AMN156FHD1920X1080AMD_94B2EE2F,NOTEBOOK LENOVO V15 G4 AMN 15.6” FHD 1920 X 1080 AMD RYZEN 3 7320U 2.4 / 4.1GHZ 8GB SSD 512 WIN 11 PRO,176,unidades,455.0,
10000333,GARANTIALENOVOPOR3AÑOSONSITE_D3569B4C,GARANTIA LENOVO POR 3 AÑOS ONSITE,176,unidades,30.0,
10000333,NOTEBOOKLENOVOTHINKBOOK16G716FHDWUXGA192_E552B0B3,NOTEBOOK LENOVO THINKBOOK 16 G7 16” FHD WUXGA 1920 X 1200 AMD RYZEN 3 7535U 3.0 GHZ/4.3 GHZ 16GB 1TB SSD WIN 11 PRO,98,unidades,594.74,
10000333,GARANTIALENOVOPOR3AÑOSONSITE_D3569B4C,GARANTIA LENOVO POR 3 AÑOS ONSITE,98,unidades,15.0,
10000347,CAMARAFOTOGRAFICACANONEOSREBELSL3PROCESA_139838C4,CAMARA FOTOGRAFICA CANON EOS REBEL SL3 PROCESADOR DIGIC8 CON CONECTIVIDAD WI FI Y BLUETOOTH,48,unidades,540.0,
10000348,SISTEMADERACKPARAPROYECTORSEGUNDISEÑOYME_8162269E,SISTEMA DE RACK PARA PROYECTOR SEGUN DISEÑO Y MEDIDAS APROBADAS,5,unidades,850.0,
10000348,SISTEMADERACKPARAPROYECTORSEGUNDISEÑOYME_8162269E,SISTEMA DE RACK PARA PROYECTOR SEGUN DISEÑO Y MEDIDAS APROBADAS,5,unidades,820.0,
10000363,PARLANTECREATIVESBSE2900ALTAVOCES2160W12_69717080,PARLANTE CREATIVE SBS E2900 ALTAVOCES 2.1 60W-120W USB BLUTOOTH 3.5MM NEGRO,6,unidades,197.88,
10000364,PARLANTECREATIVESBSE2900ALTAVOCES2160W12_69717080,PARLANTE CREATIVE SBS E2900 ALTAVOCES 2.1 60W-120W USB BLUTOOTH 3.5MM NEGRO,6,unidades,57.31,
10000365,PANTALLAINTERACTIVAVIEWBOARDIFP7533GDE75_8D9EE6D0,PANTALLA INTERACTIVA VIEWBOARD IFP7533-G DE 75” 4K,16,unidades,1400.0,
10000365,MODULOINALAMBRICOWIFIVIEWSONICVBWIFI004D_D41637B2,MODULO INALAMBRICO WI-FI VIEWSONIC VB-WIFI-004 DE DOBLE BAND OPCIONAL PARA PANTALLAS INTERACTIVAS VIEWBOARD,16,unidades,39.0,
10000365,OPSVPCF5W55G12ACONRANURAPARAPANTALLAINTE_34242A7F,OPS VPCF5-W55-G1-2A CON RANURA PARA PANTALLA INTERACTIVA VIEWBOARD,16,unidades,590.0,
10000366,DRONDJIMAVIC3PRODJIRCNA_5EE1B012,DRON DJI MAVIC 3 PRO (DJI RC) NA,2,unidades,7626.27,
10000370,CAMARAFILMADORACANONHFG70CMOS4KUHDZOOM20_230DD6EF,CAMARA FILMADORA CANON HF-G70 CMOS 4K UHD ZOOM 20X,130,unidades,1045.0,
10000371,RACKSOPORTEDEPEDESTAL32A80RK04PARAPANTAL_9468F60F,RACK SOPORTE DE PEDESTAL 32” A 80” RK-04 PARA PANTALLA INTERACTIVA,20,unidades,227.97,
10000386,SERVIDORDELL210BFUZPOWEREDGER660XS_C321EE76,SERVIDOR DELL 210-BFUZ POWEREDGE R660XS,1,unidades,16098.52,
10000387,SERVICIODETRANSPORTEDECARGAANIVELNACIONA_EF3F322D,"SERVICIO DE TRANSPORTE DE CARGA A NIVEL NACIONAL DE LIMA A HUANCAYO
CLIENTE: GOBIERNO REGIONAL DE HUANCAVELICA
CODIGO: CV001GORH24
INSTITUTO SUPERIOR TECNOLOGICO PAMPAS
CECO: CV003",1,unidades,152.9,
10000389,TELEVISORXIAOMI5638543QLED4KUHDGOOGLETVA_4CEA418F,TELEVISOR XIAOMI 56385 43” QLED 4K UHD GOOGLE TV A PRO 2025,106,unidades,202.0,
10000390,TELEVISORHISENSEULED4KUHD65GOOGLETV4HDMI_730090C9,TELEVISOR HISENSE ULED 4K UHD 65” GOOGLE TV 4HDMI 2USB CON WIFI Y BLUETOOTH,22,unidades,1897.46,
10000391,RACKGIRATORIOPARATVECO400XLTV32A65VESAMA_0AE5C9DF,RACK GIRATORIO PARA TV ECO400XL TV 32” A 65” VESA MAX 400MM X 400MM CARGA 50 KG BRAZO EXTENDIDO 72CM NEGRO MATE,109,unidades,106.78,
10000391,SOPORTEPEDESTALCONRUEDAP1030TPARATV37A70_7EEEC95F,SOPORTE PEDESTAL CON RUEDA P1030T PARA TV 37” A 70” VESA MAX 600MM X 400MM CARGA 40 KG NEGRO,22,unidades,330.51,
10000392,SERVICIODETRANSPORTEDECARGAANIVELLOCAL_BB3FFB40,SERVICIO DE TRANSPORTE DE CARGA A NIVEL LOCAL,1,unidades,466.1,
10000392,SERVICIODETRANSPORTEDECARGAANIVELLOCAL_BB3FFB40,SERVICIO DE TRANSPORTE DE CARGA A NIVEL LOCAL,1,unidades,466.1,
10000392,SERVICIODETRANSPORTEDECARGAANIVELLOCAL_BB3FFB40,SERVICIO DE TRANSPORTE DE CARGA A NIVEL LOCAL,1,unidades,466.1,
10000392,SERVICIODETRANSPORTEDECARGAANIVELLOCAL_BB3FFB40,SERVICIO DE TRANSPORTE DE CARGA A NIVEL LOCAL,1,unidades,618.64,
10000392,SERVICIODETRANSPORTEDECARGAANIVELLOCAL_BB3FFB40,SERVICIO DE TRANSPORTE DE CARGA A NIVEL LOCAL,1,unidades,618.64,
10000392,SERVICIODETRANSPORTEDECARGAANIVELLOCAL_BB3FFB40,SERVICIO DE TRANSPORTE DE CARGA A NIVEL LOCAL,1,unidades,309.32,
10000393,MEMORIARAMKINGSTON16GBDDR55600MHZPC54480_44EA65D0,MEMORIA RAM KINGSTON 16GB DDR5-5600MHZ PC5-44800 CL46 1.1V 262-PIN NON-ECC SODIMM,2,unidades,46.8,
10000394,PALETASDEMADERADESEGUNDOUSODE120MTX100MT_1F97114E,PALETAS DE MADERA DE SEGUNDO USO DE 1.20MT X 1.00MT,20,unidades,33.0,
10000395,CABLEPATCHCORDPANDUITFZ2ELLNLNSNM002OM4L_6AEE442F,CABLE PATCH CORD PANDUIT FZ2ELLNLNSNM002 OM4 LSZH LC-LC DUPLEX X 2MT,4,unidades,28.0,
10000396,RELOJDECONTROLDEASISTENCIAQWANTECBIOMNET_A247D848,RELOJ DE CONTROL DE ASISTENCIA QWANTEC BIOMNETRICO DACTILAR Y FACIAL INCLUYE APP MOVIL COMPATIBLE CON WIFI Y ETHERNET,1,unidades,700.0,
10000397,CABLEDEPODERSCHUKOH05VVFPLUG16A250V3GO75_981FE41C,CABLE DE PODER SCHUKO H05VV-F PLUG 16A 250V 3GO.75MM2 1.8MT SOCKET IEC-60320 C13 NEGRO,311,unidades,1.16,
10000397,CABLEDEPODERSCHUKOH05VVFPLUG10A250V3GO75_92F605DE,CABLE DE PODER SCHUKO H05VV-F PLUG 10A 250V 3GO.75MM2  2.8MT SOCKET IEC-60320 C13 NEGRO,351,unidades,1.54,
10000397,CABLEDEPODERH05VVFC13PLUG10A250V3GO75MM2_2C0B5BA4,CABLE DE PODER H05VV-F C13 PLUG 10A 250V 3GO.75MM2 1.8 MT SOCKET IEC-60320 NEGRO,110,unidades,1.45,
10000397,CABLEDEPODERH03VVH2FC7PLUG10A250V2X075MM_9F3A7758,CABLE DE PODER H03VVH2-F C7 PLUG 10A 250V 2X0.75MM2 1.8MT SOCKET IEC-60320 C7 NEGRO,160,unidades,0.97,
10000397,CABLEDEPODERH05VVFC5PLUG10A250V3G075MM21_FA1D1EEA,CABLE DE PODER H05VV-F C5 PLUG 10A 250V 3G0.75MM2 1.8MT SOCKET IEC-60320 C5 NEGRO,800,unidades,1.19,
10000397,COSTODEFLETEAEREO_54036CD4,COSTO DE FLETE AEREO,1,unidades,3410.0,
10000397,CABLEDEPODERSCHUKOH05VVFPLUG16A250V3GO75_981FE41C,CABLE DE PODER SCHUKO H05VV-F PLUG 16A 250V 3GO.75MM2 1.8MT SOCKET IEC-60320 C13 NEGRO,311,unidades,1.16,
10000397,CABLEDEPODERSCHUKOH05VVFPLUG10A250V3GO75_92F605DE,CABLE DE PODER SCHUKO H05VV-F PLUG 10A 250V 3GO.75MM2  2.8MT SOCKET IEC-60320 C13 NEGRO,351,unidades,1.54,
10000397,CABLEDEPODERH05VVFC13PLUG10A250V3GO75MM2_2C0B5BA4,CABLE DE PODER H05VV-F C13 PLUG 10A 250V 3GO.75MM2 1.8 MT SOCKET IEC-60320 NEGRO,110,unidades,1.45,
10000397,CABLEDEPODERH03VVH2FC7PLUG10A250V2X075MM_9F3A7758,CABLE DE PODER H03VVH2-F C7 PLUG 10A 250V 2X0.75MM2 1.8MT SOCKET IEC-60320 C7 NEGRO,160,unidades,0.97,
10000397,CABLEDEPODERH05VVFC5PLUG10A250V3G075MM21_FA1D1EEA,CABLE DE PODER H05VV-F C5 PLUG 10A 250V 3G0.75MM2 1.8MT SOCKET IEC-60320 C5 NEGRO,800,unidades,1.19,
10000397,COSTODEFLETEAEREO_54036CD4,COSTO DE FLETE AEREO,1,unidades,3410.0,
10000398,TELEVISORTCL40S5440_42528795,TELEVISOR TCL 40S54 40”,9,unidades,592.37,
10000399,TELEVISORTCL40S5440_42528795,TELEVISOR TCL 40S54 40”,2,unidades,592.37,
10000400,ADAPTADOROPALUX3ENLINEA_9BF03A65,ADAPTADOR OPALUX 3 EN LINEA,50,unidades,5.09,
10000401,PARLANTELOGITECH980001004S150ENTRADAUSBB_2321AEF8,PARLANTE LOGITECH 980-001004 S-150 ENTRADA USB BLACK RETAIL POTENCIA 2.2W CON SUBWOOFER,4,unidades,59.24,
10000402,PANELCONVENCIONALTECFSP502G5ZONAS2HILOS2_C9ED412A,PANEL CONVENCIONAL TEC FSP-502G 5 ZONAS/2 HILOS 2 NACS CERTIFICACION UL,1,unidades,783.9,
10000402,BATERIATECPS71212V7AH_5739AE53,BATERIA TEC PS7-12 12V/7AH,2,unidades,46.61,
10000402,DETECTORDEHUMOCONVENCIONALTECSD4WPA24HIL_7617876A,DETECTOR DE HUMO CONVENCIONAL TEC SD-4WP A 2/4 HILOS CERTIFICACION UL,25,unidades,72.03,
10000402,ESTACIONMANUALCONVENCIONALTECFLBG12LSPDO_3E559D97,ESTACION MANUAL CONVENCIONAL TEC FL-BG-12LSP DOBLE ACCION CERTIFICACION UL,3,unidades,80.51,
10000402,SIRENACONLUZESTROBOROJOSYSHSPARAPAREDINT_3F4DE82B,SIRENA CON LUZ ESTROBO ROJO SYS-HS PARA PARED INTERIOR CERTIFICACION UL,3,unidades,120.34,
10000402,CABLETECFPLR4X22RS4X22CALIBRE22AWGBARRAD_AFA2E845,CABLE TEC FPLR4X22-RS 4X22 CALIBRE 22 AWG BARRA DE COBRE SOLIDO ROJO X 305 MT,3,unidades,287.29,
10000403,TELEPROMPTERPRESIDENCIALPROSP17PHBQUANTI_D631484C,TELEPROMPTER PRESIDENCIAL PRO SP17PHB QUANTITY PAIR PEOPLE STAGE PRO 17” BRIGHTNESS HIGH BRIGHT MONITOR 17”,1,unidades,6134.92,
10000404,EQUIPODEAIREACONDICIONADOTEMPBLUEINVERTE_A813681D,"EQUIPO DE AIRE ACONDICIONADO TEMP BLUE INVERTER 12,000 BTU",1,unidades,1449.0,
10000404,MATERIALESDIVERSOSPARATRABAJOSVARIOS_6F65B237,MATERIALES DIVERSOS PARA TRABAJOS VARIOS,1,unidades,1218.75,
10000404,SERVICIODEINSTALACIONDEAIREACONDICIONADO_B3D41631,SERVICIO DE INSTALACION DE AIRE ACONDICIONADO,1,unidades,1145.81,
10000405,TABIQUERIADEDRYWALLINTERIOR2CARASCONPÑLA_E27538FC,TABIQUERIA DE DRYWALL INTERIOR 2 CARAS CON PÑLACA DE YESO GYPLAC DE 1.22 MT X 2.44MT,1,unidades,14729.76,
10000405,INSTALACIONESELECTRICAS_3AF7841B,INSTALACIONES ELECTRICAS,1,unidades,3122.0,
10000406,ESCRITORIOLINEALENMELAMINEDE120MTX075MTX_43774C9B,ESCRITORIO LINEAL EN MELAMINE  DE 1.20MT X 0.75MT X 0.60MT,21,unidades,508.47,
10000406,ESCRITORIOENFORMADELENMALAMINEDE180MTX17_333087B6,ESCRITORIO EN FORMA DE L EN MALAMINE DE 1.80MT X 1.70MT X 0.75MT,5,unidades,932.2,
